workerId,Time_spent_page_1,Time_spent_survey_1,Condition,Pin,Pinterest:Which of the following social media platforms do you have an account on?,Instagram:Which of the following social media platforms do you have an account on?,Facebook:Which of the following social media platforms do you have an account on?,Twitter:Which of the following social media platforms do you have an account on?,YouTube:Which of the following social media platforms do you have an account on?,Snapchat:Which of the following social media platforms do you have an account on?,Facebook:How often do you visit each of the following social media platforms?,Instagram:How often do you visit each of the following social media platforms?,Twitter:How often do you visit each of the following social media platforms?,Pinterest:How often do you visit each of the following social media platforms?,YouTube:How often do you visit each of the following social media platforms?,Snapchat:How often do you visit each of the following social media platforms?,Facebook:How often do you post content on each of the following social media platforms?,Instagram:How often do you post content on each of the following social media platforms?,Twitter:How often do you post content on each of the following social media platforms?,Pinterest:How often do you post content on each of the following social media platforms?,YouTube:How often do you post content on each of the following social media platforms?,Snapchat:How often do you post content on each of the following social media platforms?,Time_spent_page_2,Time_spent_survey_2,PinId,Time_spent_page_3,Time_spent_survey_3,"In a few sentences, please tell us about the pin you just observed.",What is your overall impression of the pin?,Please describe the reason behind your answer to the above question.,Time_spent_page_4,Time_spent_survey_4,"After observing the pin, what is your overall impression of the item shown in the image above?",How much do you think the pin creator favors the item shown in the image above?,How likely do you think there is a relationship between the pin creator and the organization selling the item?,Please describe the reason behind your answer to the above question.,Time_spent_page_5,Time_spent_survey_5,One of the lines in the the description of the pin you observed states: ,Time_spent_page_6,Time_spent_survey_6,Time_spent_page_7,Time_spent_survey_7,In which year were you born?,What is your gender?,What is the highest level of education you have completed?,What is your annual household income?,Time_spent_page_8,Time_spent_survey_8
128,12,12,3,3,Yes,Yes,Yes,Yes,Yes,No,Several Times A Day,Every Few Weeks,A Few Times A Week,Every Few Weeks,About Once A Day,Never,About Once A Day,Every Few Weeks,Every Few Weeks,Less Often,Every Few Weeks,Never,54,66,414823815668000016,28,94,Glittery kids shoes for girls. Pretty nice looking. 4 different styles.,Somewhat Positive,Look like pretty decent shoes for a young girl.,68,162,Somewhat Positive,Strongly Favors,Somewhat Likely,"Being that it's an advertisement of sorts, I'd say it's moderately likely that there is a relationship between the creator and the organization. ",98,279,Affiliation link i believe.,26,305,30,335,1971,Male,High School Graduate,"Less than $25,000",14,349
129,8,8,3,4,Yes,Yes,Yes,Yes,Yes,Yes,About Once A Day,About Once A Day,About Once A Day,About Once A Day,About Once A Day,About Once A Day,A Few Times A Week,A Few Times A Week,A Few Times A Week,A Few Times A Week,A Few Times A Week,A Few Times A Week,28,36,1548181098801468,5,41,a nice shirt. Had cool design on it. Looked soft.,Neutral,It wasn't exactly my taste,32,73,Somewhat Positive,Moderately Favors,Somewhat Likely,It is likely an advertisement for the blanket,36,116,"It is an affiliate link, leads to the product",20,136,12,148,1996,Male,Some College,"$35,000 to $49,999",11,159
130,6,6,2,2,Yes,Yes,Yes,Yes,Yes,No,Several Times A Day,Less Often,Less Often,A Few Times A Week,A Few Times A Week,Never,Several Times A Day,Less Often,Less Often,Less Often,Less Often,Never,56,62,781374604069700266,10,72,Its woodpecker food I guess,Neutral,"I'm ambivalent, I like birds, not super interested in feeding woodpeckers",47,119,Neutral,Slightly Favors,Somewhat Likely,"I don't think many people use Pinterest for this sort of stuff, seems like it might be marketing",43,171,"affiliate link, means they get paid if someone buys",19,190,14,204,1969,Female,Bachelor's Degree,"$100,000 to $124,999",19,223
131,65,65,3,4,Yes,Yes,Yes,Yes,Yes,No,Never,Several Times A Day,Several Times A Day,A Few Times A Week,Several Times A Day,Never,Never,A Few Times A Week,About Once A Day,Less Often,A Few Times A Week,Never,53,118,1548181098801468,56,174,It appeared to be a throw blanket.,Neutral,The blanket did not evoke strong emotions in me.,126,300,Neutral,Moderately Favors,Neutral,"Unless it's disclosed, you wouldnt know.",151,474,That the person receives commission if someone clicks on the link.,66,540,19,559,1980,Female,Bachelor's Degree,"$50,000 to $74,999",58,617
132,6,6,5,4,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,A Few Times A Week,Less Often,A Few Times A Week,Several Times A Day,Less Often,About Once A Day,Less Often,Less Often,A Few Times A Week,Less Often,Less Often,47,53,1548181098801468,9,62,i think it was a blanket,Neutral,it really had no description,50,112,Somewhat Positive,Somewhat Favors,Neutral,well it was a affiliate link tied with the pin,61,183,it means anytime anyone uses the link the person will receive money from the company that it is sponsored by,50,233,24,257,1975,Female,Associate's Degree,"Less than $25,000",18,275
133,34,34,5,3,Yes,No,Yes,No,Yes,No,Several Times A Day,Never,Every Few Weeks,A Few Times A Week,Several Times A Day,Never,About Once A Day,Never,Never,Every Few Weeks,Every Few Weeks,Never,82,116,414823815668000016,34,150,"It shows four baby-shoe designs. Three of the four a ""clittery."" It was posted by someone with the name of Tisha Govea. The shoes were very pretty!",Somewhat Positive,"It is a nice PIN, but I have very little interest in babies.",212,362,Somewhat Positive,Strongly Favors,Extremely Likely,Tisha mentioned that her post had an affiliate link attached.,75,467,Tisha makes money off the PIN,23,490,31,521,1947,Male,Associate's Degree,"Less than $25,000",18,539
134,12,12,5,3,Yes,Yes,Yes,Yes,Yes,No,Several Times A Day,Never,Less Often,A Few Times A Week,Several Times A Day,Never,Less Often,Never,Less Often,Every Few Weeks,Never,Never,57,69,414823815668000016,11,80,The pin had baby shoes with rhinestones on them.,Somewhat Positive,It was aesthetically pleasing and seemed to be an actual DIY thing.,57,137,Neutral,Somewhat Favors,Extremely Likely,"They posted that it was an affiliate link, which means they receive a commission for sales.",49,207,"This means that if I were to purchase something after clicking through the link, they'd receive a portion of that sale.",34,241,22,263,1987,Female,Some College,"$35,000 to $49,999",23,286
135,7,7,5,2,Yes,Yes,Yes,Yes,Yes,No,About Once A Day,A Few Times A Week,Several Times A Day,About Once A Day,Several Times A Day,Never,A Few Times A Week,Every Few Weeks,A Few Times A Week,Every Few Weeks,Less Often,Not Sure,73,80,781374604069700266,19,99,It was pellets for feeding wild birds. They are good year round.,Somewhat Positive,It was pretty and I like animals.,48,147,Somewhat Positive,Somewhat Favors,Extremely Likely,She explicitly states that she gets a commission from sales. ,67,228,It is in my financial interest to promote this product and my opinion on it should be taken with a grain of salt.,44,272,23,295,1982,Male,Bachelor's Degree,"$50,000 to $74,999",14,309
136,9,9,4,3,Yes,Yes,Yes,Yes,Yes,No,About Once A Day,Several Times A Day,Every Few Weeks,About Once A Day,About Once A Day,Never,Less Often,Every Few Weeks,Never,Never,Less Often,Never,54,63,414823815668000016,22,85,Baby shoes that have been decorated with rhinestones.,Extremely Positive,I thought the pictures looked very nice and professional. The person appeared to do quality work.,100,185,Somewhat Negative,Does Not Favor At All,Extremely Unlikely,The pin showed converse and ballet slippers shoes. She seemed to use higher end shoes than the ones pictures above. ,109,323,That if I go to that link and buy something the person who posted will received a percentage of the sale. ,57,380,42,422,1969,Female,Associate's Degree,"$50,000 to $74,999",15,437
137,9,9,1,4,Yes,No,No,Yes,Yes,No,Never,Less Often,Every Few Weeks,A Few Times A Week,Several Times A Day,Never,Never,Never,Every Few Weeks,A Few Times A Week,Less Often,Never,69,78,1548181098801468,12,90,"A woman holding up a a gray with thin beige stripe blanket so it obscured all but her feet and hands. The poster titled it ""for the home.""",Neutral,I have no feeling about it either way.,54,144,Neutral,Moderately Favors,Extremely Likely,"Firms us social networks to market products, but overtly and covertly. An actual user of this item would likely present it differently.",63,220,,,,19,239,1977,Male,High School Graduate,"Less than $25,000",9,248
138,6,6,5,4,Yes,Yes,Yes,Yes,Yes,No,Several Times A Day,About Once A Day,A Few Times A Week,Every Few Weeks,A Few Times A Week,Never,Every Few Weeks,Every Few Weeks,Less Often,Never,Never,Never,56,62,1548181098801468,11,73,It was a lady holding up a comforter or maybe a curtain. It was blue and graysih colored.,Somewhat Positive,It was interesting but not too exciting so I chose somewhat positive.,83,156,Neutral,Somewhat Favors,Somewhat Likely,"I think she gets something for posting the item on pinterest, but I don't think she would post something she didn't like. I don't really like pins where someone gets something for posting though so I am neutral about it.",122,293,I think it means that she gets a certain amount of money for each item sold.,60,353,21,374,1961,Female,Associate's Degree,"Less than $25,000",16,390
139,9,9,1,4,Yes,Yes,Yes,Yes,Yes,Yes,About Once A Day,About Once A Day,A Few Times A Week,About Once A Day,Several Times A Day,About Once A Day,A Few Times A Week,A Few Times A Week,Every Few Weeks,A Few Times A Week,Less Often,A Few Times A Week,34,43,1548181098801468,21,64,"It was a gray blanket being held up by a person. It had 65 pins, and was posted by a woman named Colleen.",Somewhat Positive,"Even though it's clearly a product being advertised, the blanket itself was nice and I'd be curious to find out what it costs and who sells it.",72,136,Somewhat Positive,Somewhat Favors,Extremely Likely,"I like the blanket and the retailer, but I'm certain that this person is receiving something in return for  featuring the product, and probably doesn't really like it that much.",60,205,,,,23,228,1974,Female,Bachelor's Degree,"$35,000 to $49,999",16,244
140,21,21,5,3,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,About Once A Day,A Few Times A Week,About Once A Day,Several Times A Day,A Few Times A Week,Less Often,Less Often,Every Few Weeks,Less Often,Never,Less Often,25,46,414823815668000016,28,74,I saw pink shoes that were for sale. They were in the style of chuck taylor converse sneakers. They appeared to have a glitter or sheen to them.,Neutral,I did not feel like there was anything that stood out. I felt like this was sort of boring.,51,125,Neutral,Moderately Favors,Extremely Likely,I feel like this is the company attempting to direct people to Amazon to buy their product. There was nothing that showed there was 0 affiliation.,49,183,They get paid for every item that sells via the link they are providing.,22,205,10,215,1985,Male,Some College,"$75,000 to $99,999",7,222
141,361,361,1,4,Yes,No,Yes,Yes,Yes,No,A Few Times A Week,Never,A Few Times A Week,Several Times A Day,Several Times A Day,Never,A Few Times A Week,Never,Less Often,Several Times A Day,Never,Never,81,442,1548181098801468,14,456,There was a woman holding up a gray and cream striped possibly woven throw.,Somewhat Positive,It looks like a high quality rustic item and this is the type of thing I like,124,580,Extremely Positive,Moderately Favors,Somewhat Likely,Coyuchi is a great brand I own some of their items as well as some from Anthropologie. It's possible that person is the same as me in that regard.,122,710,,,,35,745,1988,Female,Bachelor's Degree,"$50,000 to $74,999",14,759
142,8,8,2,1,Yes,Yes,No,No,Yes,No,Never,Less Often,Never,Every Few Weeks,About Once A Day,Never,Never,Never,Never,Never,Never,Never,25,33,697283954778000593,40,73,it was a picture of soap,Somewhat Negative,why take a picture of soap?,22,95,Neutral,Slightly Favors,Extremely Likely,its an obvious ad for a sale,38,136,affiliated link,14,150,20,170,1979,Male,Bachelor's Degree,"$50,000 to $74,999",12,182
143,23,23,5,1,Yes,Yes,Yes,Yes,Yes,No,Several Times A Day,A Few Times A Week,A Few Times A Week,About Once A Day,Several Times A Day,Never,Several Times A Day,Never,A Few Times A Week,Never,Never,Never,44,67,697283954778000593,8,75,The pin was for bathroom ideas. It was a soap holder made out of what looks like steel.,Somewhat Positive,It looked like a good way to make a soap holder in the bathroom. It was asthetically pleasing.,31,106,Somewhat Positive,Moderately Favors,Neutral,"I'm not sure if the person is affiliated to who is selling it or not. I do like the soap holder, though.I think the creator of the pin really likes it, since they made the pin.",37,150,This means that the person is being paid to post the pin. ,17,167,12,179,1988,Female,Some College,"Less than $25,000",14,193
144,10,10,2,2,No,No,Yes,Yes,Yes,Yes,Several Times A Day,A Few Times A Week,Several Times A Day,A Few Times A Week,Several Times A Day,A Few Times A Week,Several Times A Day,Less Often,Several Times A Day,A Few Times A Week,Never,A Few Times A Week,61,71,781374604069700266,24,95, Woodpecker food. Yes stick it in the holes of the tree. It feeds them year-round. ,Somewhat Positive, I think it's interesting. I did not know there was such a thing. I would not  mind having some. ,76,171,Neutral,Strongly Favors,Extremely Likely, It seems more like an advertisement. It's obviously from Amazon. So they're trying to sell their product. Which seems very expensive. ,85,265, I have no idea. Means nothing to me. ,51,316,25,341,1967,Male,Some College,"$35,000 to $49,999",18,359
145,7,7,1,2,Yes,Yes,Yes,Yes,Yes,Yes,About Once A Day,About Once A Day,About Once A Day,About Once A Day,Several Times A Day,About Once A Day,About Once A Day,About Once A Day,About Once A Day,About Once A Day,About Once A Day,About Once A Day,65,72,781374604069700266,14,86,It it a pin about wild bird food.  It had a woodpecker on the front,Somewhat Positive,It was an interesting ad. ,50,136,Neutral,Somewhat Favors,Extremely Likely,It leads to an add to buy the product,42,184,,,,12,196,1971,Male,Bachelor's Degree,"$150,000 or more",17,213
146,12,12,4,2,Yes,Yes,Yes,No,Yes,Yes,Several Times A Day,A Few Times A Week,Never,Several Times A Day,A Few Times A Week,About Once A Day,A Few Times A Week,Every Few Weeks,Never,About Once A Day,Never,A Few Times A Week,56,68,781374604069700266,8,76,"It was a pin for bird suet. It had a cartoon turkey on the front, and a wood background with writing talking about the suet. ",Extremely Positive,I like the design of it and the color of the turkey against the brown background caught my eye. I would probably click on the pin if I was looking for suet.,94,170,Extremely Positive,Somewhat Favors,Somewhat Likely,"The pin said it is an affiliate link, which can be through the organization itself or through amazon. So it is possible she is connected to the organization through the affiliate link.",99,280,"Usually it means either that she used and liked the product and asked them to be an affiliate, or they approached her and gave her samples and she liked their product so she decided to be an affiliate. Affiliate is when she gets a bit of money everytime someone buys it through her link. ",77,357,32,389,1983,Female,Bachelor's Degree,"$50,000 to $74,999",17,406
147,28,28,2,3,Yes,No,Yes,Yes,Yes,No,Several Times A Day,Never,About Once A Day,A Few Times A Week,A Few Times A Week,Never,A Few Times A Week,Never,Less Often,Less Often,Never,Never,101,129,414823815668000016,20,149,"It was a pin collage of four pictures of a baby shoe. The baby shoes were pink and had been bedazzled essentially. They were blingy and shiny. Supposedly that was DYI, so someone could recreate it themselves as  a project.",Somewhat Positive,"It was a nice picture and looked like a cool project for a baby shoe. I think it was a bit ostentatious and not something I would do for a baby-girl, but I can see other people liking it for the their kids.",103,252,Somewhat Positive,Somewhat Favors,Neutral,"It looks like a shoe that would work for the DYI, so I can see the connection there. I don't think it's limited to only being for this shoe there, so i don't think there's that strong a connection or that the poster is getting a kickback to linking to that specific shoe. It's more like a, hey, this would work for this link.",70,345,"that the link to the item is affiliated with the poster and the posted content, meaning that the poster presumably gets something for linking to the item if the person looking at the pink clicks through to the item.",42,387,20,407,1983,Female,Doctoral Degree,"$50,000 to $74,999",30,437
148,26,26,5,3,Yes,No,Yes,Yes,Yes,No,Several Times A Day,Every Few Weeks,A Few Times A Week,About Once A Day,About Once A Day,Never,A Few Times A Week,Never,Less Often,A Few Times A Week,A Few Times A Week,Never,83,109,414823815668000016,24,133,These are baby shoes for a little girl. Each pair of shoes is uniquely decorated and contains the color pink. ,Extremely Positive,These shoes would be an ideal gift idea for a baby shower. ,118,251,Neutral,Slightly Favors,Extremely Likely,The person who created the pin is probably a member of the Amazon Associates Program and will earn a commission on every pair of shoes sold. ,106,392,This person is receiving a small percentage for every pair of shoes sold through her affiliate link. ,45,437,31,468,1966,Female,Some College,"$75,000 to $99,999",17,485
149,18,18,3,1,Yes,Yes,Yes,Yes,Yes,No,About Once A Day,Every Few Weeks,A Few Times A Week,About Once A Day,About Once A Day,Never,Every Few Weeks,Less Often,Less Often,Every Few Weeks,Never,Never,82,100,697283954778000593,91,191,Apparently it's a diy link to make an interesting looking soap dish for the shower. ,Somewhat Positive,It was a nice looking dish that is different from most so it was interesting and also appropriate. ,39,230,Somewhat Positive,Moderately Favors,Somewhat Likely,"Now I'm questioning my memory of what the first pin said, thought it was instructions to make one. However, without more wording on the pin it seems like this is more of an ""ad"" on Pinterest and not a pin that someone would make personally as they would add some commentary. ",81,334,"I had no clue at first, but now I think it means affiliate? ",43,377,22,399,1968,Female,Bachelor's Degree,"$50,000 to $74,999",16,415
150,9,9,3,5,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,Several Times A Day,Several Times A Day,About Once A Day,Several Times A Day,A Few Times A Week,A Few Times A Week,About Once A Day,About Once A Day,About Once A Day,A Few Times A Week,Every Few Weeks,50,59,804314814672700115,9,68,it was kind of like a stuffed animal thing,Neutral,just looks like every regular toy,37,105,Neutral,Somewhat Favors,Neutral,i think they're getting paid for that ,52,171,a link where people can click view the stuff and buy it and the person get's a percentage of that.,43,214,19,233,1991,Female,Some College,"Less than $25,000",21,254
151,37,37,4,1,Yes,Yes,Yes,Yes,Yes,No,Every Few Weeks,Every Few Weeks,Several Times A Day,About Once A Day,Several Times A Day,Never,Less Often,Never,Every Few Weeks,Never,Less Often,Never,65,102,697283954778000593,11,113,It is an ad for a soap dish that can be installed in a  DIY manner.,Neutral,I did not really like the look and I have no need for a wall mounted soap dish.,77,190,Neutral,Somewhat Favors,Extremely Likely,Because the pin creator stated the relationship in the description.,50,260,That the pin creator gets a commission if someone clicks on the pin and then buys the product.,44,304,44,348,1958,Male,Some College,"$35,000 to $49,999",15,363
152,18,18,2,4,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,About Once A Day,Several Times A Day,Every Few Weeks,Several Times A Day,Less Often,A Few Times A Week,Every Few Weeks,Less Often,Less Often,Never,Never,38,56,1548181098801468,13,69,At first I thought it was a shirt and then I realized it was a blanket (throw) being held by a woman. It was confusing and I did not know why it was pinned.,Neutral,It didn't make me feel anything. It wasn't interesting. It was just meh. ,53,122,Extremely Positive,Somewhat Favors,Extremely Likely,The description posted an affiliate link so I know the creator and the organization has a relationship.,54,191,"It means the link to the item is an affiliate link so the person who posted the pin will get paid if you buy it through that link, maybe even if you just click it. ",39,230,20,250,1975,Female,Bachelor's Degree,"$75,000 to $99,999",13,263
153,58,58,2,5,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,A Few Times A Week,Less Often,About Once A Day,A Few Times A Week,Every Few Weeks,Every Few Weeks,Less Often,Never,Less Often,Never,Less Often,95,153,804314814672700115,40,193,It was a dog bed that was shaped like a shark. The mouth was the opening. It had 1 pin.,Somewhat Positive,It was cute but not a pin that I was really interested in. It didn't have price or where to buy labeled on it anywhere. ,127,320,Extremely Positive,Strongly Favors,Extremely Unlikely,I think the pin creator would be the company that makes the bed and they sell through Amazon but aren't connected to it. ,135,490,Affiliated link. I think it means a paid advertisement. ,44,534,84,618,1973,Female,Some College,"$50,000 to $74,999",18,636
154,4,4,2,1,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,Several Times A Day,Every Few Weeks,About Once A Day,About Once A Day,A Few Times A Week,Several Times A Day,About Once A Day,Every Few Weeks,A Few Times A Week,A Few Times A Week,Every Few Weeks,34,38,697283954778000593,8,46,Modern designed bathroom soap holder. Made of metal with a nice design to compliment any bathroom.,Somewhat Positive,"It looks quite nice, holds a purpose to hold bar soap and would fit into most homes.",52,98,Somewhat Positive,Moderately Favors,Somewhat Likely,"Promote and showcase their nice item, to interest people and direct them to where they can purchase it.",43,149,"Affiliated link, so the producer or seller link connects you to the item to look at/purchase.",35,184,21,205,1987,Male,Associate's Degree,"$25,000 to $34,999",12,217
155,14,14,5,3,No,No,Yes,No,Yes,No,A Few Times A Week,Every Few Weeks,About Once A Day,Never,Several Times A Day,Never,Never,Never,Never,Never,Never,Never,79,93,414823815668000016,52,145,It's a diy pin. It shows four images. Someone has taken Converse shoes for a toddler and decorated them by switching out ribbons for the laces and put decorations on the toes and soles.,Somewhat Negative,"The diy decorations just make the shoes less practical for what they are supposed to do. They look cute, but ribbons won't hold up well as laces and who wants a toddler walking on their floors with stuff on the soles to scuff things up. They may just be baby sized, so no need to walk in them, but then they may pose safety hazards if the decoration are ingested.",205,350,Somewhat Negative,Strongly Favors,Somewhat Likely,The pin looks like an image from Amazon. Seems like the pin is pushing for people to go where they can buy the product.,151,529,"It means there is indeed a special relationship between the person posting the pin and the seller. For every sale attributable to the pin, the poster gets a cut.",106,635,43,678,1963,Female,"Professional Degree (e.g., MBA, J.D.)",Prefer not to answer,118,796
156,11,11,2,4,Yes,Yes,Yes,Yes,Yes,Yes,About Once A Day,About Once A Day,A Few Times A Week,A Few Times A Week,A Few Times A Week,A Few Times A Week,Every Few Weeks,Every Few Weeks,Every Few Weeks,A Few Times A Week,Less Often,Every Few Weeks,241,252,1548181098801468,7,259,It was a pin for the home.,Neutral,It's not really my style but could be someone else's,35,294,Somewhat Positive,Moderately Favors,Extremely Likely,I feel that they feel favorable or they wouldnt have shared it,48,350,It probably means that they have an affiliation with the source,41,391,11,402,1989,Female,Bachelor's Degree,"$75,000 to $99,999",10,412
157,10,10,5,1,Yes,Yes,Yes,No,No,No,Several Times A Day,Less Often,Never,A Few Times A Week,Never,Never,Less Often,Never,Never,Less Often,Never,Never,81,91,697283954778000593,12,103,A soap dish of rubbed bronze with wire at the bottom so that the suds would drip instead of make slush,Extremely Positive,This looked really neat.   I would like to follow it and see if the instructions were also there as it did say DIY.  This sort of thing would look great in my bathroom.,78,181,Extremely Positive,Moderately Favors,Extremely Likely,"Because she said that it was an affiliate and she was paid to get product.   It doesn't matter though, as the soap dish is awesome. ",43,234,This person is getting a piece of the money for every one who uses her link to buy things. ,30,264,15,279,1961,Female,Associate's Degree,"$100,000 to $124,999",19,298
158,19,19,2,4,Yes,Yes,Yes,Yes,Yes,Not Sure,About Once A Day,Every Few Weeks,Less Often,Less Often,A Few Times A Week,Never,Every Few Weeks,Never,Never,Never,Never,Never,59,78,1548181098801468,8,86,A big piece of cloth is being held up. Save,Neutral,Not interested in the product,31,117,Neutral,Strongly Favors,Extremely Likely,Weird to post that if no relationship,31,156,Affiliate link. Makes money from sales,18,174,17,191,1983,Male,"Professional Degree (e.g., MBA, J.D.)","$125,000 to $149,999",14,205
159,40,40,3,4,Yes,Yes,Yes,Yes,Yes,Yes,A Few Times A Week,About Once A Day,Never,About Once A Day,Several Times A Day,A Few Times A Week,Every Few Weeks,Every Few Weeks,Never,Never,Never,Less Often,44,84,1548181098801468,6,90,There was a person holding up a blanket. The blanket was a blue-gray with stripes. The background was just a wall.,Neutral,The photo did not look professional in any way. I cannot be sure what the pin was even about. ,66,156,Neutral,Strongly Favors,Somewhat Likely,"The person may have bought it for their home and really enjoy the blanket. However, the person could have gotten a better picture for the pin.",54,219,They are getting paid for promoting the subject of the pin. ,24,243,21,264,1993,Female,Bachelor's Degree,"$25,000 to $34,999",20,284
160,14,14,1,5,Yes,No,Yes,No,Yes,No,Several Times A Day,Never,Never,A Few Times A Week,About Once A Day,Never,Every Few Weeks,Never,Never,Less Often,Less Often,Never,82,97,804314814672700115,7,104,It is a dog bed shaped like a shark.  The dog enters the shark's moouth.,Somewhat Positive,"The Shark bed is a cute idea, I had not seen a bed like that before.",68,172,Neutral,Moderately Favors,Somewhat Likely,The pin looks like an Amazon listing for the item.  It seems that the intent is to sell the beds.,88,270,,,,22,292,1973,Female,Master's Degree,"$150,000 or more",33,325
161,15,15,4,2,No,No,No,No,Yes,No,Never,Never,Never,Never,A Few Times A Week,Never,Never,Never,Never,Never,Never,Never,53,68,781374604069700266,19,87,Pin about suet pills.,Neutral,Doesn't affect me.,60,147,Neutral,Strongly Favors,Extremely Likely,Companies are always trying to sell you something,107,289,the person posting the pin is trying to make a sale to get a commission.,53,342,39,381,1970,Male,Bachelor's Degree,"$75,000 to $99,999",22,403
162,14,14,4,1,Yes,No,Yes,No,Yes,No,About Once A Day,Never,Never,A Few Times A Week,Every Few Weeks,Never,Every Few Weeks,Never,Never,Less Often,Never,Never,82,96,697283954778000593,25,121,"Home decor dig, it was a picture of a bar soap tray attached to the wall",Somewhat Positive,It was a pretty tray,75,196,Somewhat Positive,Somewhat Favors,Somewhat Likely,I think they probably get a commission,55,265,It means they get paid when people click on the link,24,289,44,333,1983,Female,Associate's Degree,"$35,000 to $49,999",26,359
163,14,14,1,5,Yes,No,Yes,No,Yes,Yes,About Once A Day,Never,Never,About Once A Day,Several Times A Day,Several Times A Day,Several Times A Day,Several Times A Day,Never,Several Times A Day,Never,About Once A Day,180,194,804314814672700115,88,282,no,Extremely Positive,no,77,359,Somewhat Positive,Strongly Favors,Somewhat Likely,good,21,388,,,,7,395,1988,Male,Bachelor's Degree,"$35,000 to $49,999",34,429
164,10,10,2,1,Yes,No,Yes,No,Yes,No,Less Often,Never,Never,Less Often,Several Times A Day,Never,Less Often,Never,Never,Never,Every Few Weeks,Never,82,92,697283954778000593,32,124,It took awhile to realize what it is. It looks cool. I wondered how it attached to the wall.,Somewhat Positive,"I think it looks pretty cool. It is not quite my style, though.",122,246,Somewhat Positive,Somewhat Favors,Somewhat Unlikely,It never occurred to me that it could be the manufacturer.,124,404,I don't know. Does that mean it's the manufacturer? ,47,451,41,492,1953,Female,Associate's Degree,"Less than $25,000",41,533
165,13,13,3,1,No,No,No,No,Yes,No,Never,Never,Never,Never,Every Few Weeks,Never,Never,Never,Never,Never,Never,Never,36,49,697283954778000593,57,106,It was a soap holder for the shower,Neutral, It was nice looking but not something  I could see myself investing any time or money in,92,198,Neutral,Strongly Favors,Extremely Likely,It comes across as an ad for the product,42,251,affiliate relationship,43,294,18,312,1956,Male,Bachelor's Degree,"$50,000 to $74,999",15,327
166,18,18,3,1,Yes,Yes,Yes,Yes,Yes,Not Sure,About Once A Day,About Once A Day,About Once A Day,About Once A Day,About Once A Day,Never,About Once A Day,About Once A Day,Every Few Weeks,Less Often,Less Often,Never,105,123,697283954778000593,16,139,A bronze soap dish . I had a gold soap set inside,Somewhat Positive,"I like the color , the new soup dishes now in stores, that the bottom was open to the soap.",90,229,Somewhat Positive,Moderately Favors,Extremely Likely,Probably a way to sell from Walmart. They are listing their items.,86,360,"Bronze wall mount soap dish, sold at Walmart",61,421,44,465,1961,Female,Bachelor's Degree,"$75,000 to $99,999",34,499
167,5,5,3,4,Yes,Yes,Yes,Yes,No,Yes,About Once A Day,About Once A Day,A Few Times A Week,About Once A Day,About Once A Day,A Few Times A Week,About Once A Day,A Few Times A Week,About Once A Day,About Once A Day,Several Times A Day,About Once A Day,38,43,1548181098801468,4,47,It was the showing of an elaborate blanket.,Somewhat Positive,It was nice and simple and conveyed good information.,30,77,Somewhat Positive,Strongly Favors,Somewhat Likely,This is giving good ideas for those that view the pin and the creators.,48,128,It conveys the communication that is wanted to be known by the creator.,31,159,7,166,1973,Male,Master's Degree,"$100,000 to $124,999",12,178
168,10,10,5,4,Yes,Yes,Yes,Yes,Yes,No,About Once A Day,Several Times A Day,A Few Times A Week,About Once A Day,Several Times A Day,Never,Every Few Weeks,Every Few Weeks,Never,Never,Never,Never,31,41,1548181098801468,10,51,It seemed to be a blanket? But could also have been some kind of curtain or sheet or fabric? Actually I have no idea what the item was,Somewhat Negative,I could not figure out the purpose of the item.,62,113,Neutral,Somewhat Favors,Somewhat Likely,realtionship likely because they pointed out it was an affiliate link. ,37,158,"It means if I click on the link and purchase the product, then the person who posted the link will get some money from the seller.",41,199,14,213,1993,Female,Bachelor's Degree,"$75,000 to $99,999",10,223
169,8,8,2,4,No,No,No,No,Yes,No,Never,Never,Less Often,Never,Several Times A Day,Never,Never,Never,Never,Never,Never,Never,32,40,1548181098801468,5,45,A lady seems to be holding up a nice looking grey cloth.,Somewhat Positive,"The picture is wholesome, the colors are anything but blinding, I would say this picture is more positive.",85,130,Neutral,Strongly Favors,Neutral,I don't think it matters what kind of a relationship the better business bureau has with any of its vendors. There's two types of business in my opinion. Good and bad.,83,222,It is irrelevant.,15,237,31,268,1995,Male,Some College,"Less than $25,000",12,280
170,7,7,3,3,Not Sure,No,No,Not Sure,No,Not Sure,Several Times A Day,A Few Times A Week,Several Times A Day,Several Times A Day,About Once A Day,Less Often,A Few Times A Week,About Once A Day,Several Times A Day,A Few Times A Week,Several Times A Day,Several Times A Day,23,30,414823815668000016,4,34,shoe,Somewhat Positive,Please describe the reason behind your answer to the above question. *,41,75,Somewhat Positive,Somewhat Favors,Somewhat Likely,na,13,93,na,6,99,6,105,1989,Female,Some College,"$25,000 to $34,999",25,130
