workerId,Time_spent_page_1,Time_spent_survey_1,Condition,Video,Pinterest:Which of the following social media platforms do you have an account on?,Instagram:Which of the following social media platforms do you have an account on?,Facebook:Which of the following social media platforms do you have an account on?,Twitter:Which of the following social media platforms do you have an account on?,YouTube:Which of the following social media platforms do you have an account on?,Snapchat:Which of the following social media platforms do you have an account on?,Facebook:How often do you visit each of the following social media platforms?,Instagram:How often do you visit each of the following social media platforms?,Twitter:How often do you visit each of the following social media platforms?,Pinterest:How often do you visit each of the following social media platforms?,YouTube:How often do you visit each of the following social media platforms?,Snapchat:How often do you visit each of the following social media platforms?,Facebook:How often do you post content on each of the following social media platforms?,Instagram:How often do you post content on each of the following social media platforms?,Twitter:How often do you post content on each of the following social media platforms?,Pinterest:How often do you post content on each of the following social media platforms?,YouTube:How often do you post content on each of the following social media platforms?,Snapchat:How often do you post content on each of the following social media platforms?,Time_spent_page_2,Time_spent_survey_2,VideoId,player_actions,Time_spent_page_3,Time_spent_survey_3,"In a few sentences, please tell us about the video you just watched.",What is your overall impression of the video?,Please describe the reason behind your answer to the above question.,Time_spent_page_4,Time_spent_survey_4,Time_spent_page_description,Time_spent_survey_description,"After watching the video, what is your overall impression of the item shown in the image above?",How much do you think the video creator favors the item shown in the image above?,How likely do you think there is a relationship between the video creator and the organization selling the item?,Please describe the reason behind your answer to the above question.,Time_spent_page_5,Time_spent_survey_5,One of the lines in the the description of the video you watched states: ,Time_spent_page_6,Time_spent_survey_6,Time_spent_page_7,Time_spent_survey_7,In which year were you born?,What is your gender?,What is the highest level of education you have completed?,What is your annual household income?,Time_spent_page_8,Time_spent_survey_8
265,12,12,5,2,Yes,Yes,Yes,Yes,Yes,Yes,About Once A Day,A Few Times A Week,About Once A Day,Every Few Weeks,About Once A Day,A Few Times A Week,Never,Less Often,Less Often,Never,Never,Every Few Weeks,34,46,FtB3PL9hcWk,Start|0;-1|0;3|0;1|0.00800013542175293;0|204.901;,267,313,There was a woman who was reviewing a makeup palette from a drug store. She seemed to really like it and was unexpected by it. ,Somewhat Positive,She was upbeat and entertaining to watch. She has a good personality which made for the review to be enjoyable,72,385,7,392,Somewhat Positive,Strongly Favors,Somewhat Likely,She was very positive about the product and she seems like to has partnerships in her description so it is possible she is biased,43,435,It means she has a deal worked out with these companies so if people click the her link she is sending business their way so she gets a small cut,36,471,13,484,1995,Male,Some College,"$25,000 to $34,999",10,494
266,22,22,5,3,Yes,Yes,Yes,Yes,Yes,No,Several Times A Day,Several Times A Day,A Few Times A Week,A Few Times A Week,About Once A Day,Never,Several Times A Day,About Once A Day,A Few Times A Week,A Few Times A Week,About Once A Day,Never,48,70,jtiP-cKE16U,Start|0;-1|0;3|0;1|0.09092735858154297;,215,285,I watched a video about hotels and spas. All of the rooms were very luxurious and nice looking. It also had Christmas music playing which was weird.,Somewhat Negative,The music didn't compliment the video and both were too long.,105,390,9,399,Somewhat Positive,Somewhat Favors,Somewhat Likely,I think the video creator probably works for the hotel chain or received some compensation.,48,447,It means that the creator gets paid if viewers click links that are overlaid on the video.,40,487,12,499,1982,Male,Associate's Degree,"$50,000 to $74,999",14,513
267,50,50,7,2,Yes,No,Yes,Not Sure,Yes,No,Several Times A Day,Never,Never,Less Often,About Once A Day,Never,Less Often,Never,Never,Never,Never,Never,65,115,FtB3PL9hcWk,Start|0;-1|0;3|0;1|0;0|204.901;,219,334,in it she tells us how much she likes that eye shadow. She also tells us that she did not expect it to be as good as it was us her then she show people how she put on the on eye shadow.I think she was going way to fast for people that are really interested ,Somewhat Negative,I don't have any experience with this because I do not wear makeup but if they are putting their eye shadow on at the same time as they are watching this to go through it step by step.If they are they will not have a free hand to pause it and start it over again,553,887,64,951,Somewhat Negative,Strongly Favors,Extremely Unlikely,I am not that impressed because she hat to use makeup from another pallet. She really seems to like it because it gives her the look she is looking for. Last of all I don't think she has anything to to with the company/orginazation selling the item because she dose not know how the name is supposed to be pronounced.,348,1299,it means she does take money from some other organizations to help her going,68,1367,43,1410,1985,Female,High School Graduate,"$25,000 to $34,999",29,1439
268,7,7,2,3,Yes,Yes,Yes,Yes,Yes,No,Several Times A Day,About Once A Day,About Once A Day,Every Few Weeks,Several Times A Day,Never,Several Times A Day,About Once A Day,Several Times A Day,Every Few Weeks,Several Times A Day,Never,86,93,jtiP-cKE16U,Start|0;-1|0;3|0;1|0;2|127.305194;3|127.305194;1|127.340532;2|159.21636363636372;3|159.21636363636372;1|159.30336312016297;2|186.3748051948053;3|186.3748051948053;1|186.4048048664856;2|203.00935064935075;3|203.00935064935075;1|203.03434996948243;0|213.145191;,174,267,GOOD LIVING HOTELS FOR SPECIAL ARRANGEMENT AND SPECILITIES,Somewhat Positive,WATCHED THE VIDEO VERY GOOD LOOKING AND CONFIDENT FOR GOOD,118,385,6,391,Somewhat Positive,Somewhat Favors,Somewhat Likely,I TRUSTED THE HOTEL SPECILITES,71,462,DANMARK CITY AVAILABLE FOR GOOD LOOKING HOTELS AND GREAT SPECILITIES,97,559,13,572,1992,Male,Bachelor's Degree,"$25,000 to $34,999",19,591
269,13,13,5,2,Yes,Yes,Yes,No,Yes,No,Several Times A Day,A Few Times A Week,Never,A Few Times A Week,Several Times A Day,About Once A Day,Several Times A Day,A Few Times A Week,Never,A Few Times A Week,A Few Times A Week,Never,50,63,FtB3PL9hcWk,Start|0;-1|0;3|0;1|0.7897706664855957;0|204.9518542;,223,286,How a make up kit for a drug store and how she loved the colors and show how to use them to give a smoking eye look,Somewhat Positive,"It was good, but just to much work to look that way and if you have to put that much work into it then that not the true you",101,387,30,417,Somewhat Positive,Strongly Favors,Extremely Likely,because in order to make money doing these video they get paid from people chicking on the link and buying the product,75,492,They make money by you clicking the link to that site,37,529,15,544,1980,Female,Some College,"$50,000 to $74,999",15,559
270,39,39,1,4,Yes,Yes,Yes,Yes,Yes,No,A Few Times A Week,Every Few Weeks,Several Times A Day,A Few Times A Week,Several Times A Day,Never,A Few Times A Week,Every Few Weeks,A Few Times A Week,Less Often,About Once A Day,Never,61,100,vozXN-Jnn6s,Start|0;-1|0;3|0;1|0.005999927520751953;,211,311,It was a montage of speeding through various scenic attractions around the world. It went from calm and peaceful environments to vibrant cities.,Somewhat Positive,"It did not make me feel sad or anything negative. From time to time I felt elated, and excited of hopefully visiting those places in the future.",96,407,12,419,Neutral,Moderately Favors,Neutral,The creators may have been advertising the drone as part of the video. ,56,475,,,,16,491,1987,Male,Bachelor's Degree,"$25,000 to $34,999",12,503
271,7,7,3,1,Yes,Yes,Yes,Not Sure,Yes,Yes,About Once A Day,Several Times A Day,Never,Every Few Weeks,A Few Times A Week,Every Few Weeks,Never,A Few Times A Week,Never,Never,Never,Never,40,47,DQktwMexxE0,Start|0;-1|0;3|0;1|0.004999876022338867;3|0.024535;1|0.03724502098083496;2|129.64592207792208;3|129.64592207792208;1|129.64792185504152;2|141.97637662337664;3|141.97637662337664;1|141.97737592752074;2|214.90220779220778;3|215.6068051948052;1|215.606805;0|217.081;,189,236,I watched a cat react to a furby that talks (which I've personally never seen before!!!),Somewhat Positive,"I answered somewhat positive because the cat was being scared, so it couldn't be completely positive. I thought it was super funny everytime he jumped though.",57,293,14,307,Somewhat Positive,Strongly Favors,Somewhat Likely,"The YouTuber is an affiliate with Amazon if including those links. So there is a slight relationship where either the affiliate trusts Amazon overall, or they are in the Associates program. The YouTuber must favor that food, otherwise they wouldn't have included a link to that specific product.",87,394,There are links included that may provide a small commission to the website owner/ social media personality,28,422,20,442,1997,Female,Some College,"$35,000 to $49,999",11,453
272,7,7,1,3,Yes,Yes,Yes,Yes,Yes,Yes,Less Often,Less Often,Every Few Weeks,About Once A Day,Several Times A Day,Several Times A Day,Less Often,Less Often,Less Often,Less Often,Less Often,Several Times A Day,29,36,jtiP-cKE16U,Start|0;-1|0;3|0;1|0.0019998550415039062;,173,209,Hotel experience and what it looks like.,Extremely Positive,It seemed like a nice hotel and a fun place to be,45,254,7,261,Extremely Positive,Strongly Favors,Extremely Likely,I think the hotel owners made the video to sell the hotel and the experience ,36,297,,,,19,316,1992,Male,Bachelor's Degree,"Less than $25,000",15,331
273,10,10,3,1,No,Yes,Yes,Yes,Yes,Yes,Every Few Weeks,Several Times A Day,Several Times A Day,Never,Several Times A Day,Several Times A Day,Never,A Few Times A Week,Less Often,Never,Never,Several Times A Day,60,70,DQktwMexxE0,Start|0;-1|0;3|0;1|0.004999876022338867;,178,248,"There was a cat and 2 types of furbies, I believe blue at the beginning then pink after that. The cat seemed like it wanted to attack the furby (when it climbed the shelf). At times in the video it didn't react at all to the furby (it would just sit and stare), and other times it would act shocked.",Somewhat Negative,There wasn't really much to it. The audio was a bit plain (besides the occasional sounds of the person recording it laughing & the obnoxious sounds from the toy). The video was really slow paced and boring to watch too. (maybe because I'm a dog person),161,409,25,434,Neutral,Somewhat Favors,Somewhat Likely,"Most of the time when a creator on youtube has a link to a product in their description it's usually a) to sell their merch or b) to help promote an item. For this particular item it is hard to tell though because it's on Amazon, most people offering a sponsorship to a creator would have a custom URL. (on amazon there's a ton of different vendors, which would make it hard to offer a sponsorship for this product because there's a chance the money would go to a different person). ",198,632,To me this means that the creator has an agreement with a certain organization to sell their products and get a % of the money,60,692,49,741,1999,Female,High School Graduate,"$75,000 to $99,999",19,760
274,6,6,4,1,Yes,Yes,No,Yes,Yes,No,Never,Several Times A Day,Several Times A Day,About Once A Day,Several Times A Day,Never,Never,A Few Times A Week,Several Times A Day,Never,Never,Never,36,42,DQktwMexxE0,Start|0;-1|0;3|0;1|0.0009999275207519531;0|217.081;,223,265,"A cat was reacting to a Toy called a Furby. The toy makes noises and talks. It creeped the cat out a little bit at first. When the owner put the toy away, the cat kept pawing at it and wanted it to play some more.",Somewhat Negative,It's too long and gets boring really quick. The cat didn't even do much and it just sort of stared blankly at the toy.,80,345,22,367,Neutral,Moderately Favors,Somewhat Unlikely,"I believe it was only a referral link in the notes of the video. it doesn't mean there is a sponsorship, but i believe it allows people to purchase the product at the video creator will get a commision. ",83,450,"if you buy the product in the link, the video creator will make a little bit of money off of it.",31,481,15,497,1983,Male,Bachelor's Degree,"$150,000 or more",10,507
275,14,14,1,5,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,Several Times A Day,Several Times A Day,About Once A Day,Several Times A Day,About Once A Day,About Once A Day,About Once A Day,Several Times A Day,Less Often,Never,About Once A Day,92,106,xU-z-hwfRrc,Start|0;-1|0;3|0;1|0.03778495994567871;0|220.721;,242,348,The video was a review of a Crosley portable record player.  The man conducting the review gave a reasonably thorough review of the general details of the device.  The video was recorded with both clear audio and visuals so anyone interested in this record player could make a reasonable assessment of the device.  ,Somewhat Positive,"Most aspects of the video were positive but I would like for the review to contain a few more specific details, mainly how loud are the onboard speakers of the record player.  Also the length of the power cable and overall weight of the device would have been important facts to know.  The presentation and video quality were good so those factors gave me a somewhat positive impression of the video.",489,837,13,850,Somewhat Positive,Strongly Favors,Somewhat Unlikely,"Because the review seemed more casual than a sponsored review would normally seem, however it is possible that this was the intention of the companies marketing team.  So since I have a small amount of doubt about the video's origin I answered somewhat unlikely.",184,1034,,,,54,1088,1989,Male,Master's Degree,"$75,000 to $99,999",19,1107
276,12,12,7,2,No,Yes,Yes,No,Yes,No,A Few Times A Week,Every Few Weeks,Never,Never,A Few Times A Week,Never,Every Few Weeks,Every Few Weeks,Never,Never,Less Often,Never,54,66,FtB3PL9hcWk,Start|0;-1|0;3|0;1|0;0|204.901;,221,287,A woman was giving a review of an eyeshadow pallette. The pallette costs $20. She really liked the product.,Extremely Positive,The woman was very likable. She is articulate and seems friendly and fun. The lighting was good so it looked like a high quality endorsement. ,110,397,47,444,Somewhat Positive,Strongly Favors,Somewhat Unlikely,She seems to be someone who reviews lots of products. I don't think she is affiliated with any of them.,77,521,"If you click on the link and proceed to buy the item, she'll let a fraction of the profits. ",45,566,27,593,1974,Male,Bachelor's Degree,"$50,000 to $74,999",19,612
277,22,22,1,4,No,Yes,No,Yes,Yes,Yes,Every Few Weeks,Several Times A Day,Never,Never,Several Times A Day,A Few Times A Week,Less Often,A Few Times A Week,Never,Never,Never,Every Few Weeks,67,89,vozXN-Jnn6s,Start|0;-1|0;3|0;1|0.004719020980834961;0|200.401;,209,298,It showed footage from a car and aerial footage of landscapes. I think it was Iceland.,Extremely Positive,It makes me want to travel and experience the excitement of exploring a new place.,35,333,13,346,Neutral,Strongly Favors,Neutral,"It's possible, although it seems unlikely. Lots of people take drone videos on YouTube and I assume most of them have no relationship to the drone manufacturer.",53,399,,,,40,439,1987,Female,Bachelor's Degree,"$25,000 to $34,999",17,456
278,10,10,3,2,No,Yes,Yes,Yes,Yes,Not Sure,About Once A Day,Every Few Weeks,Every Few Weeks,Less Often,About Once A Day,Less Often,A Few Times A Week,Every Few Weeks,Every Few Weeks,Never,Less Often,Never,72,82,FtB3PL9hcWk,Start|0;-1|0;3|0;1|0.002000093460083008;,211,293,This woman who bought a $20 eyeshadow box from the drugstore. And wanted to show if it was effective or not she went over each color she was using how she was using it and then went to the next color and said as much and showed us much the only thing you didn't really see on Camera with mascara however you did get to see her glue on eyelashes which was different and cool.,Somewhat Positive, Everybody's got something they can use from YouTube it really wasn't something I needed but it's nice to have reviews and feedback so specific things. ,83,376,24,400,Somewhat Positive,Somewhat Favors,Neutral, I mean she wasn't super excited about it maybe it was with the company but I couldn't tell because she didn't know how to say the name  ,109,509, I have no idea what that means I would guess affiliated means in tandem so could be part of the company or it could be another product that is affiliated with the same product  ,103,612,24,636,1983,Female,Bachelor's Degree,"$75,000 to $99,999",44,680
279,4,4,6,3,No,No,Yes,No,Yes,No,About Once A Day,Never,A Few Times A Week,Less Often,Several Times A Day,Never,A Few Times A Week,Never,Never,Never,Never,Never,36,40,jtiP-cKE16U,Start|0;-1|0;3|0;1|0.0010001659393310547;0|213.145191;,218,258,It looked like various pics of a hotel.,Somewhat Positive,It put me in a good mod listening to the music and viewing the pics.,35,294,7,301,Somewhat Positive,Somewhat Favors,Somewhat Unlikely,It just seems logical that they don't. these look modern compared to the videos furniture.,43,344,If I buy something from their link they get a little kickback.,31,375,11,386,1994,Male,High School Graduate,"$50,000 to $74,999",10,396
280,18,18,1,2,Yes,No,No,Yes,Yes,Yes,Never,Never,Less Often,Less Often,Several Times A Day,Several Times A Day,Never,Never,Less Often,Never,Never,Several Times A Day,134,152,FtB3PL9hcWk,Start|0;-1|0;3|0;1|0.0009999275207519531;,210,362,This video was a review of an eye shadow pallet and a demonstration of how to use it.,Extremely Positive,"I really like this video, I enjoy videos about makeup and learning new ways to apply eye shadow I love the colors that she used in the video especially the one in her crease it looked really good. ",286,648,8,656,Extremely Positive,Strongly Favors,Somewhat Unlikely,"I dont think she was promoting the product for a company, she was simply doing a makeup tutorial for a new makeup pallet she bought at the drug store",114,770,,,,35,805,1900,Female,High School Graduate,"$25,000 to $34,999",10,815
281,9,9,6,5,Yes,Yes,Yes,Yes,Yes,No,Several Times A Day,About Once A Day,Several Times A Day,Every Few Weeks,About Once A Day,Never,A Few Times A Week,A Few Times A Week,A Few Times A Week,Never,Less Often,Never,32,41,xU-z-hwfRrc,Start|0;-1|0;3|0;1|0.0009999275207519531;2|99.808116;1|99.8819998550415;0|220.721;,229,270,The video was posted to describe a cool little record player that comes in a case that looks like a little suitcase.  The narrator described the record player's pros and cons.,Somewhat Positive,"I don't have high expectations for independent product reviews like these. The video was relatively well shot, he shared interesting information about the record player, and it was about the right length for a video of this sort.",112,382,14,396,Somewhat Positive,Moderately Favors,Somewhat Unlikely,"It depends on how you define relationship, but I think it is unlikely that Amazon pays people to make videos like these.  However, as he says in his tweet, he almost certainly gets a kickback if people buy the product through his link.",81,477,"I think this means that if people buy the products Jordan is describing directly through his links, he receives a small percentage of the profit.",60,537,21,558,1984,Male,Bachelor's Degree,"$125,000 to $149,999",13,571
282,8,8,7,1,Yes,Yes,Yes,No,Yes,Yes,Several Times A Day,Less Often,Never,Every Few Weeks,Several Times A Day,Less Often,Every Few Weeks,Never,Never,Never,Never,Never,50,58,DQktwMexxE0,Start|0;-1|0;3|0;1|0.01399993896484375;0|217.081;,242,300,The video was about a cat being introduced to a Furby. When the Furby is taken away he wants to keep playing with the Furby.,Extremely Positive,I thought the cat's reaction was adorable.,65,365,41,406,Somewhat Positive,Moderately Favors,Somewhat Likely,The organization might be paying the video creator to link to their product.,115,521,I think if I use thes links the video creator will get a portion of the money.,42,563,17,580,1990,Male,Some College,"$35,000 to $49,999",34,614
283,7,7,2,5,Yes,No,Yes,Yes,Yes,No,Several Times A Day,Less Often,Several Times A Day,Several Times A Day,Several Times A Day,Less Often,A Few Times A Week,Less Often,A Few Times A Week,A Few Times A Week,A Few Times A Week,Less Often,66,73,xU-z-hwfRrc,Start|0;-1|0;3|0;1|0.002000093460083008;0|220.721;,229,302,"It was a review of the crosley portable record player. It showed what it was, how to use it, safety features.",Neutral,Im not really interested in records Im sure if somebody is or was then this would be a great video on a good product.,96,398,24,422,Somewhat Positive,Strongly Favors,Somewhat Likely,"Most people do not advertise for free unless its something they are really into and enjoy, so I would be pretty sure that crosley endorsed him",68,490,that advertising links or companies are also present in the description and or its sponsered by them,76,566,17,584,1974,Female,Bachelor's Degree,"$35,000 to $49,999",627,1211
284,14,14,6,2,Yes,No,Yes,No,No,No,About Once A Day,Never,Never,A Few Times A Week,Less Often,Never,Less Often,Never,Never,Never,Never,Never,67,81,FtB3PL9hcWk,Start|0;-1|0;3|0;1|0.017999887466430664;,181,262,demonstration of eyeshadow application,Somewhat Positive,done well,28,290,19,309,Neutral,Strongly Favors,Extremely Unlikely,seems like a personal not corporate paid review,40,349,the girl gets support by multiple hits and links,25,374,26,400,1948,Female,Bachelor's Degree,"$100,000 to $124,999",17,417
285,33,33,7,1,No,Yes,Yes,No,No,No,Several Times A Day,About Once A Day,Never,Never,A Few Times A Week,Never,Less Often,Less Often,Never,Never,Never,Never,80,113,DQktwMexxE0,Start|0;-1|0;3|0;1|0.002000093460083008;,183,296,It was a cat facing a stuffed toy that would talk and make noise sporadically. The cat was intrigued by it.,Somewhat Positive,"I love cat videos, They are entertaining and unpredictable,",128,424,27,451,Neutral,Moderately Favors,Somewhat Likely,"Because after watching this cute video, you see the advertisement and it's supposed to stick in your mind.",116,567,"To support our channel, go to these links and the purchases you make will support us.",97,664,37,701,1963,Female,Associate's Degree,"$150,000 or more",23,724
286,51,51,5,3,Yes,Yes,Yes,Yes,Yes,Yes,Every Few Weeks,Several Times A Day,Several Times A Day,A Few Times A Week,A Few Times A Week,Several Times A Day,Every Few Weeks,A Few Times A Week,About Once A Day,A Few Times A Week,Several Times A Day,About Once A Day,59,110,jtiP-cKE16U,Start|0;-1|0;3|0;1|0.018000125885009766;0|213.121;,225,335,The video showed various photos of a hotel property in Denmark along with photos of activities/services offered by the hotel. It also featured Christmas music.,Somewhat Negative,"The music didn't match what was being shown in the video and was somewhat distracting. I can understand if the hotel was being marketed for Christmas vacation but if that was the intention, wintry/holiday-themed photos of the area and property should have been shown.",143,478,52,530,Neutral,Strongly Favors,Extremely Likely,"The video creator stated that the description contained affiliate links, so there is a business relationship between the two of them.",74,604,It means that the video creator will receive a percentage or a set amount of the money made when someone uses that specific link to book a stay at the hotel.,46,650,34,684,1986,Female,Bachelor's Degree,"$50,000 to $74,999",27,711
287,14,14,7,2,No,Yes,Yes,Yes,Yes,No,About Once A Day,Never,Every Few Weeks,Never,A Few Times A Week,Never,A Few Times A Week,Never,Less Often,Never,Every Few Weeks,Never,29,43,FtB3PL9hcWk,Start|0;-1|0;3|0;1|0.0669999942779541;,202,245,A woman named Judy showed a makeup tutorial on a Lorel product. Boring. But she was nice.,Somewhat Positive,I don't wear makeup or really like makeup tutorials. But this would be useful to women who did and the woman was nice.,58,303,12,315,Neutral,Slightly Favors,Somewhat Likely,To me it might be likely that Lorel would be paying her or have given her a kickback for making this video. Or they eventually would if Judy became popular.,57,372,Click these links to buy products and I will get part of the proceeds as a kickback for recommending these products.,36,408,17,425,1976,Female,Bachelor's Degree,"$25,000 to $34,999",8,433
288,6,6,2,4,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,Several Times A Day,Less Often,A Few Times A Week,Several Times A Day,Every Few Weeks,Several Times A Day,Several Times A Day,Every Few Weeks,Every Few Weeks,Several Times A Day,Every Few Weeks,35,41,vozXN-Jnn6s,Start|0;-1|0;3|0;1|0.004000186920166016;2|137.2417987012987;3|193.5044318181818;1|193.52006792752076;2|197.195573;1|197.264431;2|198.690592;1|141.144409;2|172.04007467532466;3|172.04007467532466;1|172.041422;2|188.95138636363637;3|189.2766038961039;1|189.2847578550415;0|200.401;,191,232,"the video shows different kinds of landscapes, nature, trees, seas, lakes, clouds.",Extremely Positive,"because all the images that it shows are relaxing, and the audio is relaxing to",95,327,13,340,Somewhat Positive,Strongly Favors,Somewhat Likely,"because it is well made, the drone allows capture great scenes about the landscape",75,415,maybe because there is a relationship between the director and the seller ,42,457,7,464,1984,Male,Associate's Degree,"$35,000 to $49,999",14,478
289,16,16,1,2,Yes,Yes,Yes,Yes,Yes,No,Several Times A Day,About Once A Day,Several Times A Day,A Few Times A Week,Several Times A Day,Never,Several Times A Day,A Few Times A Week,Several Times A Day,Every Few Weeks,Less Often,Never,51,67,FtB3PL9hcWk,Start|0;-1|0;3|0;1|0.06499985694885255;,225,292,It was a video from It's Judy Time about applying eyeshadow and mascara. It was informative and entertaining. ,Somewhat Positive,"It was professional, informative and entertaining. ",77,369,16,385,Somewhat Positive,Moderately Favors,Extremely Likely,She is a Vlogger and probably receives an incentive for reviewing products for different brands. ,64,449,,,,24,473,1971,Female,Some College,"$50,000 to $74,999",18,491
290,9,9,3,5,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,Several Times A Day,About Once A Day,Every Few Weeks,Every Few Weeks,Every Few Weeks,Every Few Weeks,A Few Times A Week,Every Few Weeks,Never,Never,Never,29,38,xU-z-hwfRrc,Start|0;-1|0;3|0;1|0.0019998550415039062;0|220.721;,239,277,A man named Jordan reviewed a record player that comes in a suitcase.,Somewhat Positive,It was somewhat interesting but fairly boring since I'm not really interested in a record player.,32,309,5,314,Extremely Positive,Strongly Favors,Extremely Unlikely,"I think that the person just created the review on his own, he just liked the product and wanted to explain why he liked it.",34,348,It means that he is making money every time someone clicks an affiliate link,17,365,9,374,1993,Female,Bachelor's Degree,"$125,000 to $149,999",10,384
291,20,20,4,3,No,Yes,Yes,Yes,Yes,No,Several Times A Day,Less Often,Less Often,Never,About Once A Day,Never,A Few Times A Week,Never,Never,Never,Never,Never,62,82,jtiP-cKE16U,Start|0;-1|0;3|0;1|0;0|213.141;,247,329,It was a video advertising a hotel in Denmark. The video showcased different shots from what I believe was the hotel. ,Somewhat Negative,The music was very annoying and didn't seem to match up to what the video was advertising. ,789,1118,56,1174,Somewhat Negative,Somewhat Favors,Neutral,The video creator is making money off every click. It is likely they are not invested in the hotel otherwise. ,154,1328,The creator of the video will make a small amount every time the link is clicked on. ,125,1453,58,1511,1991,Female,Bachelor's Degree,"$75,000 to $99,999",29,1540
292,17,17,4,1,Yes,Yes,Yes,Yes,Yes,No,About Once A Day,About Once A Day,Several Times A Day,Every Few Weeks,Several Times A Day,Never,A Few Times A Week,Less Often,Several Times A Day,Every Few Weeks,Less Often,Never,49,66,DQktwMexxE0,Start|0;-1|0;3|0;1|0.0009999275207519531;0|217.081;,231,297,"It was a cat playing with a Ferbie. The Ferbie was then moved to a shelf, and the cat tried to play with it while it was on the shelf.",Somewhat Positive,I was somewhat amused by the video and got a few smiles and chuckles out of it.,70,367,33,400,Neutral,Slightly Favors,Somewhat Likely,"If it's an affiliate link on youtube, then it's most likely a deal curated by both parties to advertise. ",50,450,"It means that if you click on one of the affiliate links, the Youtube author gets some advertising money from the company",50,500,10,510,1993,Male,High School Graduate,"Less than $25,000",12,522
293,18,18,5,4,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,Several Times A Day,Every Few Weeks,A Few Times A Week,Several Times A Day,A Few Times A Week,A Few Times A Week,A Few Times A Week,Less Often,Every Few Weeks,Every Few Weeks,A Few Times A Week,34,52,vozXN-Jnn6s,Start|0;-1|0;3|0;1|0.0009999275207519531;3|3.507458;1|3.507458;3|3.507458;1|3.5535;3|6.694642;1|6.754500165939331;3|7.061327;1|7.061327;3|7.061327;1|7.114500165939331;3|9.941001;1|9.942001165939331;3|9.941001;1|9.9935;3|19.941328;1|19.994500165939332;,242,294,"IT was a sort of fast action series of shots from all over Iceland, the roads the mountains and sights. With some music. ",Somewhat Negative,It was a bit boring and the music just was the same thing over and over and over. ,43,337,8,345,Somewhat Negative,Somewhat Favors,Neutral,"The guy just wants to make money from the videos,  I get that. He probably does not care one way or another for the prodcut.  ",40,385,It means that the guy making the video gets paid for advertising the stuff. He gets paid if some one follows the link attached to his videos/site and if they buy stuff from there. ,37,422,9,431,1989,Female,Associate's Degree,"$75,000 to $99,999",15,446
294,13,13,5,4,Yes,No,Yes,No,Yes,No,Less Often,Never,Never,About Once A Day,A Few Times A Week,Never,Less Often,Never,Never,Never,Never,Never,42,55,vozXN-Jnn6s,Start|0;-1|0;3|0;1|0;,202,257,"The video was of Iceland taken by drone and dash-cam. There were a lot of nature scenes, mainly.",Somewhat Positive,"It was a little boring, but the song was decent and the scenery was really pretty.",83,340,28,368,Extremely Positive,Strongly Favors,Somewhat Likely,The relationship is that he gets a small amount of money if you click on the posted link.,65,433,"If you click the link, he'll get a small amount of money from the company that the link leads to.",39,472,31,503,1980,Female,Some College,"$50,000 to $74,999",14,517
295,21,21,6,4,Yes,Yes,Yes,Yes,Yes,No,About Once A Day,Less Often,A Few Times A Week,Every Few Weeks,Several Times A Day,Never,Less Often,Less Often,Less Often,Less Often,Less Often,Less Often,26,47,vozXN-Jnn6s,Start|0;-1|0;3|0;1|0.004787927520751953;0|200.401;,410,457,a car drone video that include a lot of beautiful scenes ,Somewhat Positive,I think the video makes me happy,30,487,11,498,Somewhat Positive,Somewhat Favors,Neutral,"With the video demonstration with most positive reviews, the machine seems favorable. ",95,593,I tend to ignore such statements and do my own judgement,20,613,9,622,1989,Female,Bachelor's Degree,"$75,000 to $99,999",10,632
296,13,13,6,2,Yes,No,Yes,Yes,Yes,No,Several Times A Day,Never,Every Few Weeks,Less Often,A Few Times A Week,Never,A Few Times A Week,Never,Less Often,Never,Never,Never,45,58,FtB3PL9hcWk,Start|0;-1|0;3|0;1|0.00800013542175293;0|204.901;,222,280,The girl did a makeup tutorial for smoky looking eyes,Neutral,"I'm a guy, so the topic wasn't really relevant to me. ",44,324,30,354,Somewhat Positive,Moderately Favors,Extremely Likely,"The person did a tutorial based on that product, and there was a link to purchase it. It would seem like there is some sort of relationship there where the person would get a commission on any sales she makes from her tutorial. ",86,440,It means that the person doing the videos makes money from people who buy products using the links. ,38,478,26,504,1987,Male,Master's Degree,"$125,000 to $149,999",13,517
297,31,31,2,2,Yes,Yes,Yes,No,Yes,Yes,About Once A Day,A Few Times A Week,Never,About Once A Day,A Few Times A Week,About Once A Day,Every Few Weeks,Every Few Weeks,Never,Less Often,Less Often,A Few Times A Week,72,103,FtB3PL9hcWk,Start|0;-1|0;3|0;1|0.02500009536743164;0|204.901;,222,325,She taught us how to make the smoke-eye look using the Loreal LA Palate she bought on sale at a drug store.  ,Extremely Positive,"Makeup, when done well, is artistic and I learned something from the video. ",100,425,44,469,Somewhat Positive,Strongly Favors,Somewhat Likely,Sometimes vloggers get paid if you use their link to purchase an item. ,112,581,That she is providing links to the companies she used,45,626,52,678,1984,Female,Master's Degree,"$50,000 to $74,999",36,714
